=== Monitoring Server Started at 2025-12-07 14:08:03 ===

[2025-12-07 14:08:08] Client: nvhung | Hostname: 192.168.1.27 | Metric: cpu_usage | Value: 33.50
[2025-12-07 14:08:08] Client: nvhung | Hostname: 192.168.1.27 | Metric: memory_usage | Value: 53.90
[2025-12-07 14:08:08] Client: nvhung | Hostname: 192.168.1.27 | Metric: disk_usage | Value: 6.10
[2025-12-07 14:08:08] Client: nvhung | Hostname: 192.168.1.27 | Metric: battery_percent | Value: 100.00
[2025-12-07 14:08:08] Client: nvhung | Hostname: 192.168.1.27 | Metric: load_average | Value: 3.91
[2025-12-07 14:08:14] Client: nvhung | Hostname: 192.168.1.27 | Metric: cpu_usage | Value: 14.10
[2025-12-07 14:08:14] Client: nvhung | Hostname: 192.168.1.27 | Metric: memory_usage | Value: 54.80
[2025-12-07 14:08:14] Client: nvhung | Hostname: 192.168.1.27 | Metric: disk_usage | Value: 6.10
[2025-12-07 14:08:14] Client: nvhung | Hostname: 192.168.1.27 | Metric: battery_percent | Value: 100.00
[2025-12-07 14:08:14] Client: nvhung | Hostname: 192.168.1.27 | Metric: load_average | Value: 3.91
[2025-12-07 14:08:20] Client: nvhung | Hostname: 192.168.1.27 | Metric: cpu_usage | Value: 16.90
[2025-12-07 14:08:20] Client: nvhung | Hostname: 192.168.1.27 | Metric: memory_usage | Value: 54.70
[2025-12-07 14:08:20] Client: nvhung | Hostname: 192.168.1.27 | Metric: disk_usage | Value: 6.10
[2025-12-07 14:08:20] Client: nvhung | Hostname: 192.168.1.27 | Metric: battery_percent | Value: 100.00
[2025-12-07 14:08:20] Client: nvhung | Hostname: 192.168.1.27 | Metric: load_average | Value: 3.76
[2025-12-07 14:08:26] Client: nvhung | Hostname: 192.168.1.27 | Metric: cpu_usage | Value: 11.60
[2025-12-07 14:08:26] Client: nvhung | Hostname: 192.168.1.27 | Metric: memory_usage | Value: 54.40
[2025-12-07 14:08:26] Client: nvhung | Hostname: 192.168.1.27 | Metric: disk_usage | Value: 6.10
[2025-12-07 14:08:26] Client: nvhung | Hostname: 192.168.1.27 | Metric: battery_percent | Value: 100.00
[2025-12-07 14:08:26] Client: nvhung | Hostname: 192.168.1.27 | Metric: load_average | Value: 3.70
[2025-12-07 14:08:32] Client: nvhung | Hostname: 192.168.1.27 | Metric: cpu_usage | Value: 10.20
[2025-12-07 14:08:32] Client: nvhung | Hostname: 192.168.1.27 | Metric: memory_usage | Value: 54.30
[2025-12-07 14:08:32] Client: nvhung | Hostname: 192.168.1.27 | Metric: disk_usage | Value: 6.10
[2025-12-07 14:08:32] Client: nvhung | Hostname: 192.168.1.27 | Metric: battery_percent | Value: 100.00
[2025-12-07 14:08:32] Client: nvhung | Hostname: 192.168.1.27 | Metric: load_average | Value: 3.21
[2025-12-07 14:08:38] Client: nvhung | Hostname: 192.168.1.27 | Metric: cpu_usage | Value: 10.50
[2025-12-07 14:08:38] Client: nvhung | Hostname: 192.168.1.27 | Metric: memory_usage | Value: 54.10
[2025-12-07 14:08:38] Client: nvhung | Hostname: 192.168.1.27 | Metric: disk_usage | Value: 6.10
[2025-12-07 14:08:38] Client: nvhung | Hostname: 192.168.1.27 | Metric: battery_percent | Value: 100.00
[2025-12-07 14:08:38] Client: nvhung | Hostname: 192.168.1.27 | Metric: load_average | Value: 3.03
[2025-12-07 14:08:44] Client: nvhung | Hostname: 192.168.1.27 | Metric: cpu_usage | Value: 13.10
[2025-12-07 14:08:44] Client: nvhung | Hostname: 192.168.1.27 | Metric: memory_usage | Value: 54.20
[2025-12-07 14:08:44] Client: nvhung | Hostname: 192.168.1.27 | Metric: disk_usage | Value: 6.10
[2025-12-07 14:08:44] Client: nvhung | Hostname: 192.168.1.27 | Metric: battery_percent | Value: 100.00
[2025-12-07 14:08:44] Client: nvhung | Hostname: 192.168.1.27 | Metric: load_average | Value: 2.79
[2025-12-07 14:08:50] Client: nvhung | Hostname: 192.168.1.27 | Metric: cpu_usage | Value: 12.40
[2025-12-07 14:08:50] Client: nvhung | Hostname: 192.168.1.27 | Metric: memory_usage | Value: 54.20
[2025-12-07 14:08:50] Client: nvhung | Hostname: 192.168.1.27 | Metric: disk_usage | Value: 6.10
[2025-12-07 14:08:50] Client: nvhung | Hostname: 192.168.1.27 | Metric: battery_percent | Value: 100.00
[2025-12-07 14:08:50] Client: nvhung | Hostname: 192.168.1.27 | Metric: load_average | Value: 2.73
[2025-12-07 14:08:56] Client: nvhung | Hostname: 192.168.1.27 | Metric: cpu_usage | Value: 15.20
